201005-212422_bem_fb0_elicit_34,abantu ku mushi abati natuyelengula ulufimbo twateya cimbwi 
201005-212422_bem_fb0_elicit_35,kuti cilya balapalama baeba umo ukunina ku muti pakuti alengule 
201005-212422_bem_fb0_elicit_36,kuti ati atile amona fye nalala ulufimbo nalumutininkisha na pa mukoshi 
201005-212422_bem_fb0_elicit_37,alashinisha ababiye ati nacimwikata 
201005-212422_bem_fb0_elicit_38,nomba uwakuyafikapo abula bonse batiina umwense wabekata 
201005-212422_bem_fb0_elicit_39,nomba uwalipo umukalamba umo gsosa ati kwena ilya nama ikali tatwishibe nefyo ifwantilwe 
201005-212422_bem_fb0_elicit_40,e calenga pa kuipaya natucenjele tubale tukoshe umulilo emo tufumbike amafumo yesu nga yapya yakashike tuleilasa lyena ilefwa bwangu 
201005-212422_bem_fb0_elicit_41,awe bonse basumina bacita ne cininkwa ca mulilo 
201005-212422_bem_fb0_elicit_42,cilya amafumo yapya yakashika na cee bayepwila fye ca mumo batendeka no tubilo ukuya ku kulasa cimbwi 
201005-212422_bem_fb0_elicit_43,uwantanshi apoose fumo amulasa fye pa matako no wa cibili nao apoosa amulashila pesamba lya palya palashile umubiye 
201005-212422_bem_fb0_elicit_44,cimbwi aumfwa ifilaso fyakalipisha neco fyali no mulilo afundumana fye umuku umo ne kunku lyawila na filya 
201005-212422_bem_fb0_elicit_45,abantu nabo bele baleiwila fye cimbwi palya pene bamulashile pa matako lilya afundumene asha anyela amafi kumo na mafumo 
201005-212422_bem_fb0_elicit_46,te wa kuceba na kunuma iyo ine e miile 
201005-212422_bem_fb0_elicit_47,uko cimbwi aile aishiba ukuti abancita fino bantu te fintu fimbi iyo kanshi balya bantu bakali nakulabatiina 
201005-212422_bem_fb0_elicit_48,umone ine ntila nine nakwatisha amaka ukucila abantu lelo kanshi e bancita umusango uno awe kanshi te bakutwalako masange 
201005-212422_bem_fb0_elicit_49,apa pene e pafuma no mwenso wa kutiina abantu nelyo kaice kuti kamutiinya afulumuka ulwinelwine asha anya na mafi 
201005-212422_bem_fb0_elicit_50,inama nkali shonse isha mu mpanga ishalecindika cimbwi ku mulandu wa bukali bwakwe nomba shamona ukuti cimbwi aleka ukwikata inama 
201005-212422_bem_fb0_elicit_51,umone kale baleendela fye pame na bankalamo nomba shamona ukuti awe aleka ukwendela pamo alebakonka fye panuma 
201005-212422_bem_fb0_elicit_52,kuti nga bankalamo baikata inama wena aya mu kukokota fye amafupa cilya bafumapo 
201005-212422_bem_fb0_elicit_53,nomba shonse nasho shamusuula 
201005-212422_bem_fb0_elicit_54,pali kantunse kapela 
201005-212422_bem_fb0_elicit_55,ici cilamoneka na kuli fwe bantu 
201005-212422_bem_fb0_elicit_56,umuntu uwali umukankala atemwa ali ni kapekape nomba nga inshiku shamwinamina ubukankala bwakwe bwapwa 
201005-212422_bem_fb0_elicit_57,abanankwe bonse aleenda nabo kuti bamusalangana no kumusuula bamusuula 
201004-122608_bem_798_elicit_0,uyo onse uwatefya balemuseka abali kanshi uli canakashi iwe 
201004-122608_bem_798_elicit_1,cila muntu aliikwete umwando wakwe uo aaposele uutali saana uo aleckaka ku cimuti cimo cili patali patali 
201004-122608_bem_798_elicit_2,ubushiku nga cintu cimo cakumyako kuti catinta ku kuulu nao e pa kubuuka akuuta ati bukeni bane mumfwe icankumpa ku kuulu 
201004-122608_bem_798_elicit_3,ifyo finc basakamuka bonse bakalabana bafumina na panse abati tumone icatulungama 
201004-122608_bem_798_elicit_4,conse nga ni nkalamo bali no kuipaya atemwa ukuikata e pa kuisukuula ameeno ayo bali nokusenda ku mushi pa kuyalangisha ku bakalamba 
201004-122608_bem_798_elicit_5,yakuu abeni nga bapitamo baishiba abati kuno nako kwabe finkanana ee 
201004-122608_bem_798_elicit_6,inshiku nga shakumanina bali nokubasenda bonse babala bababeye ne mitwe bonse bashalalye inkusu sheka sheka 
201004-122608_bem_798_elicit_7,ingala nasho shonse bashiputaula ku minwe kwashalalye 
201004-122608_bem_798_elicit_8,babalwika ne ngala sha nduba ne sha tulongwe 
201004-122608_bem_798_elicit_9,ku moolu balwalako ne ndyato 
201004-122608_bem_798_elicit_10,amalumo kuu beshile nabapangwilalye limo pakwisa beshile balecinda na malaila 
201004-122608_bem_798_elicit_11,ilyo bafika mu mushi abalyashi babo bali nok wisabawila tumpundu ninshi na babaletele ne nkoko 
201004-122608_bem_798_elicit_12,ninshi baciule tu mukolwe 
201004-122608_bem_798_elicit_13,ili nomba temukuti bapwa ukusambibila ilya bu makusuli iyoo 
201004-122608_bem_798_elicit_14,elyo panuma pakaba 
201004-122608_bem_798_elicit_15,bakutumanshalye kakano kuti ukuwaumfwa abati kampanda noku nako abati kampanda 
201004-122608_bem_798_elicit_16,ifyo fine bacululukalye mpaka ne myaka na imbi cin ckonsekonse yapwa 
201004-122608_bem_798_elicit_17,umwaka walenga pabula apo babwelele ku nsakwe shapakubala elyo ninshi baya ku nsakwe shine shine nomba 
201004-122608_bem_798_elicit_18,cila umo ninshi ali ne nkoko yakwe iyo ine iyo bamupcelo ntanshi 
201004-122608_bem_798_elicit_19,nga yafwa kuti acinja bamupeelapo imbi 
201004-122608_bem_798_elicit_20,ilyo fine cila mwaka balepokako inkoko imbi ku bafyashi babo 
201004-122608_bem_798_elicit_21,ku mpili uko nomba ninshi e pakuilanga ukuti cinc cine kwena tuli baume tatuli bakusuula nakalya 
201004-122608_bem_798_elicit_22,balelombe mipashi ya bashibo ukuti ilebensha umutende no kubapisha mu finkunka fyonse ifya caalo 
201004-122608_bem_798_elicit_23,ulya mukolwe basendae wakubabusha umo umo 
201004-122608_bem_798_elicit_24,pantu bali no kwikala uyu cka no yu eka mu ncengo shilya shine balengula kale 
201004-122608_bem_798_elicit_25,tapali nangu umo nomba uwakuba no mwenso nangu amone icili shani 
201004-122608_bem_798_elicit_26,ni nshita yakuilanga ubwaume bwine bwine 
201004-122608_bem_798_elicit_27,ino nshita mwansa fyela tepakuliila na ba cilolo bene abo baya nabo ukulundapo ne fita fine amakumi yabili mwandi tepakuliila 
201004-122608_bem_798_elicit_28,nakabili cilyo mweshi wapwa abantu ku mushi nomba baisa ku mpili kwine uko 
201004-122608_bem_798_elicit_29,baletele ne filyo ifingi saana ilili ngo bwalwa nafimbi ifyaseeka 
201004-122608_bem_798_elicit_30,kuti cilya bafika ku mpili elyo bayaposha mwansafyela baya na ku fita filya fyasenda abaana babo e pa kuya umfwa ifyo balcenda 
201004-122608_bem_798_elicit_31,uyo onse ushaletula nama shingi ninshi ashama 
201004-122608_bem_798_elicit_32,pa kwisa abaana babo kuti baisafye bateya abafyashi babo 
201004-122608_bem_798_elicit_33,mukolwe nao tewakusha iyoo uwasha mukolwe wakwe ninshi ena kubwelelamo 
201004-122608_bem_798_elicit_34,kanshi abaana abashali na mucinshi mu nshita bali mu mpanga ne fita bonse balcbapoka bamukolwe 
201004-122608_bem_798_elicit_35,emukuti abo ninshi capwa bakesabwekeshapo umwaka ukesa ilyo kabili kukabo kubwela ku mpili sha mipashi ku kufundwa 
201001-174927_bem_fb0_elicit_0,baya mu kumulolela mu ng anda mwa robin 
201001-174927_bem_fb0_elicit_1,kuti umo bali nabekalisha baumfwa no musowa wa citukutuku mu mushi 
201001-174927_bem_fb0_elicit_2,ico imitima iminine na kale baisafuma bamona joni aleisa eshile alelisha na huta ico utwaice twali mui nshila alefwaya ukupita 
201001-174927_bem_fb0_elicit_3,apo pene paul na robin baya ku ng anda kwa joni ku kumona icitukutuku cakwe 
201001-174927_bem_fb0_elicit_4,ilyo aba balumendo bafikile ku ng anda ya munabo kwaileba icongo ca nsansa na mapange ayalekanalekana 
201001-174927_bem_fb0_elicit_5,paul ati ata cumi mpaka na ine nkashite 
201001-174927_bem_fb0_elicit_6,robin nao ati shuwa na ine wine kano nkacishule 
201001-174927_bem_fb0_elicit_7,joni alabaluminisha ati ee bane namukashite pakuti tukalekalifya bacanjili imitima 
201001-174927_bem_fb0_elicit_8,bena batila humber na raleigh e ncinga sha kutwangilapo ala incinga ineine ni ii 
201001-174927_bem_fb0_elicit_9,abwela atina na pali huta ababiye balaseka 
201001-174927_bem_fb0_elicit_10,paul aipusha ati mwana bushe kadona kobe nakacimona 
201001-174927_bem_fb0_elicit_11,joni yangu nobe ico e cakwipusha no kwipusha eko nafuma nombaline 
201001-174927_bem_fb0_elicit_12,paul na robin balapampansha joni panuma abati guud mwaice twalo lubemba pantanshi 
201001-174927_bem_fb0_elicit_13,naendi ubushiku bwakonkapo joni ashinuka fye ku ncito atala apita kwa banalume 
201001-174927_bem_fb0_elicit_14,abeba ati nga nafuma ku kusamba nombaline nalaya ku kubuula janet 
201001-174927_bem_fb0_elicit_15,nga muli no twakupekanya pekanyeni 
201001-174927_bem_fb0_elicit_16,banalume abati bushe bamayo bene balanwa utubwalwa 
201001-174927_bem_fb0_elicit_17,joni ala mukwai nabayeleta fye 
201001-174927_bem_fb0_elicit_18,awe banalume baima balungama na ku biaolo abakashi nabo balapekanya tumbi utupya pa mulilo 
201001-174927_bem_fb0_elicit_19,pa kuya kwa janet joni kuti ele alelisha na kamunsoli pa citukutuku cakwe 
201001-174927_bem_fb0_elicit_20,ilyo afika afwaya ukuluba janet ku mifwalile cikashana afwele cikashana afwele icakuti nafilwa no kulondolola 
201001-174927_bem_fb0_elicit_21,kanshi ntile nangu wingapamfiwa shani nga cakutiu mwakumana nankwe ufwile ukucebukilako nelyo imiku itatu 
201001-174927_bem_fb0_elicit_22,joni wena afwele icina america nga filyafine afwala na kale 
201001-174927_bem_fb0_elicit_23,joni atampako ati bushe nuipekanya uleke tuleeya 
201001-174927_bem_fb0_elicit_24,janet kale fye natuleeya 
201001-174927_bem_fb0_elicit_25,pa kwikala pa citukutuku janet abala apempentesha bwinobwino amalaya yakwe pakuti umwela taumufimbwile 
201001-174927_bem_fb0_elicit_26,banina janet aikata na joni mu musana 
201001-174927_bem_fb0_elicit_27,pa kukanafulunganya fya mukashana joni ateka umutima pa kubutuuka bele balepuma ne lyashi 
201001-174927_bem_fb0_elicit_28,cilya bafika pa banalume kwa joni janet ico aishibe imisango ya babemba janet aika pa citukutuku bupetebupete ainika no mutwe aleka no kusosa 
201001-174927_bem_fb0_elicit_29,panuma ya kumuposha banalume kwa joni na bakashi bwangubwangu baleta ifyakushikula janet 
201001-174927_bem_fb0_elicit_30,banalume kwa joni bamupela e1 abati mayo apo twamonana cawama sana kanshi cawama nomba twalalandila pamo 
201001-174927_bem_fb0_elicit_31,bamukanalume nabo bamupela 10s basosa no kusosa filya fine abalume basosele 
201001-174927_bem_fb0_elicit_32,janet te pa kutemwa neco mu bumi bwakwe tapali icawama ngo lupiya kuti pa kupoka ne minwe ili iyacenjela 
201001-174927_bem_fb0_elicit_33,awe bayangala nganshi ku ng anda kwa banlume joni inshita yasuka yafifa na 7 koloko 
201001-174927_bem_fb0_elicit_34,janet alembula joni alamutotosha ati nalimo nomba kuti nafwaya kubwelelamo 
201001-174927_bem_fb0_elicit_35,joni ati kanshi shalikapo abene ng anda tuleya 
201001-174927_bem_fb0_elicit_36,awe janet nsoninsoni afukama panshi ashalikapo amako yakwe ati mukwai santi nayangala nabashalepo 
201001-174927_bem_fb0_elicit_37,nabo ati eya mayo cawama sana apo twamwishiba nabafikepo umutende mayo 
201001-174927_bem_fb0_elicit_38,joni bwangubwangu alisha ne citukutuku ayasha na malaiti anina aboo 
201006-013752_bem_798_elicit_0,bamupima ne cimo kuti bamupeele fyakufwala fya mayunifomu 
201006-013752_bem_798_elicit_1,bamuleka aya na ku ŋanda kuti aye abeye aye afwale na mayunifomu 
201006-013752_bem_798_elicit_2,anatole kuu naikalisha pa mwakwe amonafye shamitombo uyu 
201006-013752_bem_798_elicit_3,kuli nakoka mukwai mu ma yunifomo ciweme nganshi 
201006-013752_bem_798_elicit_4,elyo alamushimikila nefyo bamwingishe ncito 
201006-013752_bem_798_elicit_5,alalanguluka nokuti cabipa saana pakuti afume ku munankwe uwashukilafye 
201006-013752_bem_798_elicit_6,lelo teti alabe kupitako nangu limo nakalya 
201006-013752_bem_798_elicit_7,anatole nao alamukonkomesha no kuti alebika amaano pa nito nokuya umute ku kupepa 
201006-013752_bem_798_elicit_8,ninshi alimulondolwelela na fyonse kale afyamipepele ya bukilistani 
201006-013752_bem_798_elicit_9,nacine shamitombo lalepuswa ku ŋanda ya mulungu iyoo 
201006-013752_bem_798_elicit_10,cila bushiku eko alepitila pa kuyasambililako katikishimu 
201006-013752_bem_798_elicit_11,baishibana saana na patili ferdinand uwalemufundako ne cipotugishi 
201006-013752_bem_798_elicit_12,ku kamba shamitombo laleyangalafye iyoo 
201006-013752_bem_798_elicit_13,pa kupunshila ifya bushilika mwandi kuti umuntu alima na panshi 
201006-013752_bem_798_elicit_14,nomba ena tacali cakumusakamika saana ukucula kwa musango ngoyu pantu alibelela ku mpili shabo kulya baali ilyo baali abaice 
201006-013752_bem_798_elicit_15,ukupike candamali ninshi alipwisha kale 
201006-013752_bem_798_elicit_16,icalemusakamikakofye ni peleti no kunine mfalashi 
201006-013752_bem_798_elicit_17,panuma ya myeshi fye mutanda asuka apwisha fyonse bwino bwino 
201006-013752_bem_798_elicit_18,ubushiku bwine baleti lelo e kupwa shamitombo bamwita kuli ofisa mukalamba alam wipusha ati 
201006-013752_bem_798_elicit_19,bushe walishiba abantu abo baula ba mangala 
201006-013752_bem_798_elicit_20,afwaile atile kwena nalibomfwako abo bantu 
201006-013752_bem_798_elicit_21,nomba umutima umo auti awe pali filya walatamantama pakulubulula 
201006-013752_bem_798_elicit_22,epa kwasukafye at iyoo mukwai lelo kwena kuti naeshaeshako kwipusha 
201006-013752_bem_798_elicit_23,icungulo abwelelefye kwa anatole ku nanda 
201006-013752_bem_798_elicit_24,atampa no kumushimikila ifyo bamwebele ku ofeshi 
201006-013752_bem_798_elicit_25,anatole icali ku mukoshi capwa ayankulako ati we mwaume we ala nga nalikwebako pali aba bantu 
201006-013752_bem_798_elicit_26,muno mushi e cilandwa 
201006-013752_bem_798_elicit_27,bantu ababi nganshi ifwe pa lupwa lwesu e batupwile na ka viloto aka wamona kaba muno nsunga kana ka mukalamba wandi 
201006-013752_bem_798_elicit_28,ni ba mangala bafite cibi alekwipushisha alefwaya kuti ukabalunge 
201006-013752_bem_798_elicit_29,bengi baeshako balifilwa 
201006-013752_bem_798_elicit_30,ilingi line mwenso abantu batiina ati kuti wafwile canyongolo 
201006-013752_bem_798_elicit_31,nomba caba e cilandwa 
201006-013752_bem_798_elicit_32,kutifye apo apita aumfwa abati ni ba mangala 
201006-013752_bem_798_elicit_33,asuka afisha umulandu kuli ofisa mukalamba ati ine kuti nafwaya saana ukulunga ba mangala 
201006-013752_bem_798_elicit_34,cuti bamupeele wa milungu ibili ukupekanya ubulendo bwakuya alelunga ba mangala 
201006-013752_bem_798_elicit_35,inshita nomba yasuka yakwanina iyakuti bamubatishe 
201006-013752_bem_798_elicit_36,ubushiku bwine bwa lubatisho shamitombo acelele kwa anatole ali uleke nje nkungule anatole ayenjimininako ku lubatisho 
201006-013752_bem_798_elicit_37,aiminefye ninshi fye pacili napafita no kufita 
201006-013752_bem_798_elicit_38,bakapokola baishile na banunka na nuu 
201006-013752_bem_798_elicit_39,kuti ukufika ku yanda ali nkonkonshe pa mwinshi aumfwafye muli tondolo 
201006-013752_bem_798_elicit_40,cabwela camupesha na maano kuti ukuti ndolekeshe amonafye amakasa nayo ayengi neci kwalokele ne mfula icungulo 
201006-013752_bem_798_elicit_41,elyo apunka ku cibi kuti asangafye anatole natambalala ne mpumi ikashike na cee ku mulopa 
201006-013752_bem_798_elicit_42,ali aloleshe ku kona lubali ifi nako asanga anastasia muka anatole muntu ominefye no mwele upitile na pa mukoshi 
201006-013752_bem_798_elicit_43,ukulolekesha amona no munwe ulya bafwalako lingi nabauputula 
201006-013752_bem_798_elicit_44,shamitombo camupelenganya nganshi cumi 
201006-013752_bem_798_elicit_45,nikwi engaya ku kapokola nangu ku calici 
201006-013752_bem_798_elicit_46,aumiwa ne nyenjele elyo yalila 
201006-013752_bem_798_elicit_47,aishiba ati nomba elyo insa yafika 06 00 hours 
201006-013752_bem_798_elicit_48,ku ofeshi ninshi baleisula 08 00 hours 
201006-013752_bem_798_elicit_49,kanshi epakubutukila ku nanda ya mulungu ayafisha no mulandu kuli pauli ferdinand 
200921-154823_bem_798_elicit_0,umutitikisha wa mpango 
200921-154823_bem_798_elicit_1,umutitikisha wa mpango musango naumbi uwa mutitikisha nangu umucushisha uusangwa mu mayanda 
200921-154823_bem_798_elicit_2,intambi sha pa mulandu wa mpango kuti shapusana mu fyalo ifyapusana ne fishilano ifyapusana 
200921-154823_bem_798_elicit_3,impango lutambi lumo ulwa pamulandu wa ndalama 
200921-154823_bem_798_elicit_4,ifipe nangu ifyabupe ifingapelwa ukufuma ku lupwa lwa mwanakashi no kuya ku lupwa lwa mwaume ilyo baleupana 
200921-154823_bem_798_elicit_5,ukubomfya kwa mpango ukwine fye temutitikisha iyo 
200921-154823_bem_798_elicit_6,lelo ukupatikisha ubunkalwe nangu umucushisha uwingampana nokulipila nangu ukupokelela kwa mpango panshita iili yonse ilyo tabalaupana 
200921-154823_bem_798_elicit_7,mukati ka cupo nangula panuma ya ici cupo fyonse kuti fyaba mutitikisha 
200921-154823_bem_798_elicit_8,umutitikisha wa mpango ilingi line musangwa ilyashi lyakuti impango tashalipilwe nangu ukupatikisha balupwa ba mwanakashi ukuti indalama nangu ifyabupe nafimbi 
200921-154823_bem_798_elicit_9,umutitikisha no bunkalwe bwamu mayanda milandu iyapinkana na mafunde ya calo ca australia 
200921-154823_bem_798_elicit_10,umuntu uwasangwa neyi milandu kuti akakwa abe mwanakashi nangu umwaume 
200921-154823_bem_798_elicit_11,ngacakuti imwe nangu umuntu umbi untu mwaishiba ali mu busanso tumineni ba kapokola pali 000 
200921-154823_bem_798_elicit_12,ba kapokola mu calo ca australia bantu abasuma kabili abacetekelwa 
200921-154823_bem_798_elicit_13,ngamulefwaya bu mpanda mano ubwa lutu kabili ubwa nkama tummineni ba 1800respect pa 1800 737 732 
200921-154823_bem_798_elicit_14,ngacakuti mulefwaya uwakumipilibwilako icitundu tumeni pa 131 450 
200921-154823_bem_798_elicit_15,ubuteko bwa calo ca australia tabusuminisha umutitikisha nangu ubunkalwe bwa mpango mumusango uuli onse 
200921-154823_bem_798_elicit_16,ubuteko bwa calo ca australia bwaliposako amano sana kuli ili lyashi lya mutitikisha wamu mayanda pamofye no mutitikisha wa mpango 
200921-154823_bem_798_elicit_17,abena australia bonse balikwata insambu ishakwikala ukwabula ukutitikishiwa 
200921-154823_bem_798_elicit_18,ukutinishiwa nangu ukupatikishiwa 
200921-154823_bem_798_elicit_19,ukwabula ukulolesha pa mipepele yakwe 
200921-154823_bem_798_elicit_20,intambi shakwe pamo nefyo asuminamo 
200921-154823_bem_798_elicit_21,umutitikisha no bunkalwe bwa mpango mulasangwa imibele ya cintinya iiminina pakupindulula umuntu nangu balupwa bakwe 
200921-154823_bem_798_elicit_22,ukupitila mu kubatinya nangu ukutinya umutende wabo 
200921-154823_bem_798_elicit_23,ngacakuti mwalikwata icitupa ca bwikashi kuti mwapokelela ubwafwilisho 
200921-154823_bem_798_elicit_24,umuntu balupwa nangu abekala calo bambi aba muncende imo tekuti bakutinye ngacakuti uli ne citupa ca bwikalo 
200921-154823_bem_798_elicit_25,ngacakuti mwalikwata icitupa ca bwikalo icapa nshita iinono 
200921-154823_bem_798_elicit_26,nangula icitupa cimbi icakwenekela icupo elyo mwasangwa mu lyashi lya mutitikisha wa mpango 
200921-154823_bem_798_elicit_27,mwalibako amafunde ayalolesha pa mutitikisha wa ndupwa mu mafunde yamingilile mu calo ca australia ayengamisuminisha ukwikala ne citupa ca bwikalo icakwikalilila 
200921-154823_bem_798_elicit_28,impango tekuti shibomfiwe mukupatikisha umuntu ukwingila mucupo 
200921-154823_bem_798_elicit_29,ngacakuti impango shalibomfiwe mukupatikisha umuntu ukwingila mucupo ukwabula ukuti asumine ici kuti caba cupo cakupatishiwa 
200921-154823_bem_798_elicit_30,mu calo ca australia umuntu onse alikwata insambu sha kuisalila nga alefwaya untu alefwaya nalintu alefwaya ukuupa 
200921-154823_bem_798_elicit_31,cilapinkana namafunde ya calo ca australia ukupatikisha ukutinya nangu ukubeleleka umuntu pakuti egengila mu cupo 
200921-154823_bem_798_elicit_32,kabili cilapinkana namafunde ya calo ca australia ukukoselesha nangu ukupekanishishako umuntu icupo icakupatikishiwa 
200921-154823_bem_798_elicit_33,elyo nokusangwa mwibumba ilyabaleufya icupo cakupatikishiwa ngacakuti teiwe cikumine 
200921-154823_bem_798_elicit_34,ici cilekumafye ku fyupo fyonse fibe fyamwi funde ifya ntambi nangufye ifya mapepo 
200921-154823_bem_798_elicit_35,mwalibako utubungwe utwalekenalekana mu calo ca australia utwingamyafwilisha 
200921-154823_bem_798_elicit_36,1800respect kabungwe kamu calo ca australia akabombela mukupanda amano mu milandu ya kulungana nabantu ku maka elyo no bunkalwe no mutitikisha mu mayanda 
200921-154823_bem_798_elicit_37,aka kabungwe kalapelako ilyashi lya bumpanda mano ilya lutu kabili ilya nkama pali lamya elyo napa intaneti 
200921-154823_bem_798_elicit_38,ba mpandamano bakomfwa kuli fintu mulelanda ukwasuka amepusho yenu elyo nokumituma kumbi uko mwingasanga ubwafwilisho mu ncende yenu 
200921-154823_bem_798_elicit_39,tumeni lamya pali 1800 737 732 nangu kabiyeni pe bula lyapa intaneti ilyaba 1800respect pa www 1800respect org au 
200921-154823_bem_798_elicit_40,my blue sky kabungwe akabomfya intaneti akaipelesha mukupeela ubwafwilisho pa milandu ya kucingilila ifyupo fyakupatikishiwa 
200921-154823_bem_798_elicit_41,ukupanda amano elyo nokutuma abantu kuncende sha bwafwilisho kumbi 
200921-154823_bem_798_elicit_42,tumeni lamya pa 02 9514 8115 tumeni kakalata kapali musange pali 0481 070 844 
200921-154823_bem_798_elicit_43,tumeni inkalata yapa intaneti pa help mybluesky org au 
200921-154823_bem_798_elicit_44,nangu tandaleni pe buula lyapa intaneti ilyaba my blue sky pa www mybluesky org au 
200921-154823_bem_798_elicit_45,ilyashi limbi ilyapa milandu ya mutitikisha wamu mayanda ne fitupa fya bwikalo ifyupo fyakupatikishiwa 
200921-154823_bem_798_elicit_46,elyo nokushitisha kwa bantu kuti lyasangwa pe buula lyapa intaneti ilya ciputulwa cilolesha pa fyamukati ka calo ilya www homeaffairs gov au 
200921-154823_bem_798_elicit_47,nangu mufwayefye ifilembo fyakuti ifyupo fya kupatikishiwa 
200916-125910_bem_798_elicit_0,lelo ili shiwi talyaseeka nakuseeka iyo lelo ecibemba inkonko 
200916-125910_bem_798_elicit_1,ishiwi lyakuti sondo nangu sande twayampululafye ku cisungu elyo mulungu nalyo twayampulula ku ciswahili 
200916-125910_bem_798_elicit_2,ubushiku bwayakanina mufipande ifingi nganshi ukulingana nabantu abalanda icibemba elyo nakuntu bekalila 
200916-125910_bem_798_elicit_3,amashiwi ayalatantama apa pesamba yamo tabayalanda kuncende shimo elyo yambi nayo yalalandwa 
200916-125910_bem_798_elicit_4,amalumbo mu cibemba yaba apengi kwaba amalumbo yashamfumu abantu bafye imilimo inama nefyuni elyo nafimbi ifyalekana lekana 
200916-125910_bem_798_elicit_5,eco yacindamina nico abantu baliyasunga pamo ngefishilano elyo kabili yalafwilishako nabantu bamo ukwibukisha ifintu fimo ifyo bengalaba 
200916-125910_bem_798_elicit_6,pali aya malumbo pali yamo ayo abengi bengatontonkanya ati ninsele awe mukwai tensele iyo malumbofye 
200916-125910_bem_798_elicit_7,ilumbo lyapali catile lilangafye ubukali bwashmfumu 
200916-125910_bem_798_elicit_8,uwaponokela limo cilepilibula ukuti umuntu uwakalipila limo 
200916-125910_bem_798_elicit_9,elyo filya imbwa icita kuikota mulubansa efyo nomuntu umukali acita kufintu ifyafishe panono panono nangu bucebuce asuka afikilisha ifyo alefwaya 
200916-125910_bem_798_elicit_10,mukwai kwaliba amalumbo ayengi nganshi mu lulimi lwa cibemba ayo mwingasanga nokusambilila 
200916-125910_bem_798_elicit_11,ngakuli nayambi ayo mwishibe ala kuti mwalundapo ukulingana namuntu mwayeshibila 
200916-125910_bem_798_elicit_12,lekeni tusungilile ululimi lwesu pakuti nabaana besu abeshikulu nenkulo yalenga bune ukufuma pali ifwe bakese sambililako 
200916-125910_bem_798_elicit_13,lesa wakumulu amipaale bonse 
200916-125910_bem_798_elicit_14,amalumbo yamo aya yatanteme pesamba 
200916-125910_bem_798_elicit_15,niwe cumbu cakooca icakwipika cafule micene 
200916-125910_bem_798_elicit_16,niwe lunkutwe shilupuma mpanga 
200916-125910_bem_798_elicit_17,niwe kaling ongo mulaala kwacenama 
200916-125910_bem_798_elicit_18,niwe cikonkolo mposwa pebumba 
200916-125910_bem_798_elicit_19,niwe shiwailiwa uonta ubuta bwakwe 
200916-125910_bem_798_elicit_20,niwe cibengele namuncenene uwa meno ngo lupandulo 
200916-125910_bem_798_elicit_21,niwe kasumba kake lamba tulingane nabaliile 
200916-125910_bem_798_elicit_22,niwe cimpusa icishingile abalenya 
200916-125910_bem_798_elicit_23,niwe catile uwaponokela limo 
200916-125910_bem_798_elicit_24,niwe bukala bwambwa ubwingila buce buce 
200916-125910_bem_798_elicit_25,niwe shimwitwa pakakala 
200916-125910_bem_798_elicit_26,niwe shimwikata abanya 
200916-125910_bem_798_elicit_27,niwe kalungu umwine nkuni na menshi 
200916-125910_bem_798_elicit_28,niwe mankangala munshifukatilwa 
200916-125910_bem_798_elicit_29,niwe mwine pacuulu abantu bonse panshi 
200916-125910_bem_798_elicit_30,niwe kabulubulu munshitina linso lya mfumu 
200916-125910_bem_798_elicit_31,niwe kabundi munshikulilwe linga 
200916-125910_bem_798_elicit_32,niwe katyetye mwenda mwalimwa 
200916-125910_bem_798_elicit_33,niwe linkolobwe ilyafubato muto 
200916-125910_bem_798_elicit_34,niwe shimucita panini uwapokele njikalafye umukashi 
180101-042805_bem_d31_elicit_0,abana bekala mu misebo ba pro christo aba bupyungishi bwa mucifungo nabashala 
180101-042805_bem_d31_elicit_1,finshi ifikakonkapo 
180101-042805_bem_d31_elicit_2,ba kelvin simwata abalekelesheko ukushimikila kabili batile 
180101-042805_bem_d31_elicit_3,mu africa icilonganino cileesha ukusanga ilyashi ilipya ilya kupeela abantu insambu elyo ne subilo 
180101-042805_bem_d31_elicit_4,ubwina kristu mu africa bufwile bwaba enshila yamikalile 
180101-042805_bem_d31_elicit_5,ukushinshimuna nimbeela ya bwikashi ubutungulushi milimo te cifulo 
180101-042805_bem_d31_elicit_6,bushe icilonganino califumyapo imitundu 
180101-042805_bem_d31_elicit_7,bushe kwali ishafumu ishikalamba 
180101-042805_bem_d31_elicit_8,fintu nshi ififuma mu cebo cakwa lesa kabili fintu nshi ififuma ku lutambi lwa basungu 
180101-042805_bem_d31_elicit_9,cali caku sonsomba apakalamba 
180101-042805_bem_d31_elicit_10,ngefyo cali panuma yakulongana kwantanshi ukwali mu south africa mu 2004 
180101-042805_bem_d31_elicit_11,kuli nokuba icitabo icikabamo amashimiko yonse ukubikapofye na masambililo aya peelwe mutubungwe 
180101-042805_bem_d31_elicit_12,ngafintu amakalata ya bwite yasalangananishiwe ukulongana kwaliko pa 26th september 2009 ne nshita ya 09 00hr 
180101-042805_bem_d31_elicit_13,ukulanshanya amashiwi ya mucipingo elyo na mapepo 
180101-042805_bem_d31_elicit_14,mumashiwi ya kukoselesha aya mucipingo 
180101-042805_bem_d31_elicit_15,abakalamba abemininako icutungu ca ku mikoti muli ulu ulupapulo 
180101-042805_bem_d31_elicit_16,ba obed mwape babalilepo ukwibulula amatontonkanyo ya bakalamba bacilolo ba filonganino fya mapepo 
